x,y,t
0,0,0
1,0,1767
2,0,1946
3,0,2239
4,0,2386
5,0,2531
6,0,3049
6,1,4265
5,1,5591
4,1,5816
4,2,8810
3,2,9663
2,2,10147
3,2,11171
4,2,11531
5,2,11767
6,2,11925
7,2,12510
7,3,15154
6,3,16368
5,3,16525
4,3,16683
3,3,16829
2,3,16998
1,3,17156
0,3,17301
0,4,18608
1,4,19731
1,3,21465
2,3,22645
3,3,23746
3,4,24806
4,4,26065
5,4,26357
6,4,26627
7,4,27100
7,5,28248
6,5,29462
5,5,29934
5,4,33422
5,3,33885
4,3,35266
3,3,35514
2,3,35750
1,3,36234
0,3,36988
0,4,38013
0,5,39138
1,5,41184
0,5,44310
0,6,47495
1,6,48136
2,6,48417
3,6,48900
4,6,49328
3,6,50363
2,6,50554
1,6,51825
0,6,53333
0,7,54875
1,7,55774
2,7,56145
3,7,56606
2,7,57551
1,7,57979
0,7,58968
0,6,60094
0,5,60265
0,4,60456
0,3,60715
1,3,62480
2,3,62671
3,3,62817
4,3,62986
5,3,63154
6,3,63323
7,3,63481
7,4,64866
7,5,65271
7,6,65586
6,6,66428
7,6,67846
7,7,69062
6,7,69950
