x,y,t
0,0,0
1,0,9444
2,0,9633
3,0,9892
4,0,11511
5,0,11990
6,0,12454
6,1,20103
6,2,21639
7,2,22628
7,3,23558
7,4,23769
7,5,24087
7,6,24387
7,7,24696
6,7,25872
6,6,26939
6,5,27462
6,4,35661
6,3,36183
6,4,48790
6,5,49269
5,5,50127
5,4,52602
4,4,54198
3,4,55387
3,3,57733
4,3,60079
5,3,62098
5,2,65022
5,1,65654
4,1,66657
4,2,67645
3,2,68524
2,2,69282
2,3,70103
1,3,83933
0,3,84467
0,4,85205
0,5,85582
0,6,85847
0,7,86140
1,7,87018
2,7,87555
3,7,87973
3,6,92969
4,6,94062
3,6,94678
2,6,95160
1,6,96563
1,5,97146
1,4,97642
