x,y,t
0,0,0
1,0,8067
2,0,8411
3,0,8614
4,0,8820
4,1,9367
4,2,10520
3,2,10942
2,2,11223
2,3,11665
1,3,12379
0,3,12834
0,4,13282
0,5,13783
0,6,13862
0,7,13946
1,7,14748
2,7,15250
3,7,15329
3,6,15976
4,6,16278
3,6,16538
2,6,17038
1,6,17534
1,5,17902
1,4,18255
1,3,18654
2,3,19144
3,3,19496
4,3,19894
5,3,20230
5,2,20573
5,1,20874
5,0,21182
6,0,21563
6,1,21974
6,2,22304
7,2,22739
7,3,23231
7,4,23731
7,5,23810
7,6,23893
7,7,23977
6,7,24461
6,6,25784
6,5,26064
5,5,26464
5,4,26721
6,4,27726
6,3,27951
5,3,28360
4,3,28847
4,4,29180
3,4,29339
