x,y,t
0,0,0
1,0,4940
2,0,5135
3,0,5283
4,0,5415
5,0,5566
6,0,6638
6,1,6953
6,2,7387
7,2,7620
7,3,9172
7,4,9319
7,5,9506
7,6,9669
7,7,10139
6,7,10623
6,6,11006
6,5,11440
5,5,12240
5,4,12691
4,4,13040
3,4,13225
3,3,16377
2,3,16961
1,3,19646
1,4,20063
1,5,20480
1,6,20815
2,6,21865
3,6,22099
4,6,22280
3,6,22730
3,7,23015
2,7,23332
1,7,23533
0,7,23679
0,6,24099
0,5,24366
0,4,24583
0,3,24749
1,3,25729
2,3,26184
2,2,26553
3,2,26902
4,2,27252
5,2,27399
5,1,28553
4,1,29020
4,2,29732
4,3,29971
5,3,30304
6,3,30587
6,4,30871
