x,y,t
0,0,0
1,0,4432
2,0,4655
3,0,4838
4,0,5022
5,0,5207
6,0,5718
6,1,7438
6,2,8814
7,2,9142
7,3,10086
7,4,10310
7,5,10510
7,6,11046
7,7,11566
6,7,12151
6,6,13230
6,5,13759
6,4,14201
6,3,51871
5,3,57894
5,4,59510
5,5,59967
5,4,60926
4,4,61470
3,4,61991
3,3,64207
4,3,65375
4,2,69488
4,1,70087
5,1,71239
5,2,71968
4,2,73518
3,2,74014
2,2,74510
2,3,75846
1,3,76703
0,3,77247
0,4,78407
0,5,78831
0,6,79470
0,7,80311
1,7,81638
2,7,81958
3,7,82215
3,6,83310
4,6,83696
3,6,84182
2,6,84615
1,6,85103
1,5,85790
1,4,86071
