x,y,t
0,0,0
1,0,13784
2,0,14254
3,0,15511
4,0,15803
5,0,16155
6,0,16596
6,1,17663
5,1,18730
4,1,19175
4,2,19748
3,2,20349
2,2,20720
2,3,22074
1,3,22813
0,3,23168
0,4,37158
0,5,37530
0,6,37799
0,7,38209
1,7,40527
2,7,41036
3,7,41769
3,6,44221
4,6,44659
3,6,46153
2,6,46429
1,6,46802
1,5,48117
1,4,48487
1,3,49083
2,3,51170
3,3,52243
3,4,53505
4,4,54425
5,4,56074
5,5,56753
6,5,58073
6,6,58893
6,7,59297
7,7,59784
7,6,63105
7,5,63692
7,4,65824
6,4,68132
6,3,70480
5,3,71124
4,3,71797
4,2,74400
5,2,74884
6,2,75202
7,2,75605
7,3,77392
