x,y,t
0,0,0
1,0,52159
2,0,52480
3,0,52692
4,0,52933
5,0,53345
6,0,53779
6,1,54732
6,2,56099
7,2,57893
7,3,60964
7,4,61330
7,5,61717
7,6,62112
7,7,62816
6,7,63575
6,6,65152
6,5,68363
5,5,69146
5,4,70139
6,4,71336
6,3,72957
5,3,74996
5,2,76790
5,1,81262
4,1,82610
4,2,91759
4,3,92156
4,4,92684
3,4,93409
3,3,94331
3,2,95331
2,2,96554
2,3,98096
1,3,100227
0,3,100979
0,4,102700
1,4,112557
1,5,116216
0,5,117251
0,6,125414
0,7,144395
1,7,145755
1,6,147094
2,6,151502
2,7,152934
3,7,153382
3,6,154597
4,6,155601
