x,y,t
0,0,0
1,0,44440
2,0,44664
3,0,44827
4,0,45006
5,0,45225
6,0,45480
6,1,46040
6,2,47224
7,2,47557
7,3,48136
7,4,48438
7,5,48778
7,6,49133
7,7,49478
6,7,49836
6,6,50325
6,5,50616
6,4,51031
6,3,51379
5,3,51851
5,2,52751
5,1,53113
4,1,53524
4,2,54064
4,3,54647
4,4,55101
5,4,56124
5,5,56549
5,4,56993
4,4,57394
3,4,57808
3,3,58248
3,2,58630
2,2,59029
2,3,59529
1,3,59913
0,3,60474
0,4,61072
0,5,61467
0,6,61921
0,7,62307
1,7,62710
2,7,63055
3,7,63417
3,6,63827
4,6,64215
3,6,64607
2,6,65001
1,6,65444
1,5,65833
1,4,66210
