x,y,t
0,0,0
1,0,1077
2,0,1318
3,0,1496
4,0,1677
5,0,1914
6,0,2114
6,1,2804
6,2,3234
7,2,3523
7,3,4401
7,4,4647
7,5,4847
7,6,5050
7,7,5246
6,7,5723
6,6,6348
6,5,6537
5,5,6861
5,4,7972
6,4,8644
6,3,8915
5,3,9322
5,2,10659
5,1,10812
4,1,11038
4,2,11416
4,3,11642
4,4,11837
4,3,12465
3,3,12919
3,2,13320
2,2,13748
3,2,14349
3,3,14670
3,4,14858
3,3,15173
2,3,15446
1,3,15713
0,3,15894
0,4,16227
1,4,16570
1,5,16814
0,5,17810
0,6,18156
0,7,18852
1,7,19187
1,6,19457
2,6,19759
2,7,20079
3,7,20439
3,6,20737
4,6,21170
