x,y,t
0,0,0
1,0,1849
2,0,2056
3,0,2252
4,0,2430
5,0,2637
6,0,2864
6,1,3724
6,2,4699
7,2,5207
7,3,5833
7,4,6008
7,5,6188
7,6,6380
7,7,6578
6,7,7747
6,6,8854
6,5,9046
6,4,9233
6,3,9433
5,3,13624
5,2,14637
5,1,14905
4,1,15791
4,2,17330
3,2,18439
2,2,18637
2,3,19954
1,3,21496
0,3,21813
0,4,23284
0,5,23498
0,6,23680
0,7,23929
1,7,24741
2,7,25344
3,7,25616
3,6,27057
4,6,27813
3,6,28570
2,6,28785
1,6,29011
1,5,29823
1,4,30067
1,3,31665
2,3,32815
3,3,33015
4,3,34705
5,3,36112
5,4,37589
5,5,37745
5,4,38726
4,4,39761
3,4,39971
