x,y,t
0,0,0
1,0,11860
2,0,12190
3,0,12405
4,0,12614
5,0,12773
6,0,13018
6,1,14025
5,1,14349
4,1,14558
4,2,16485
3,2,18075
2,2,18343
2,3,19524
1,3,19818
0,3,20160
0,4,23247
0,5,23439
0,6,23610
0,7,23768
1,7,25193
2,7,25383
3,7,25550
3,6,26861
4,6,29623
3,6,30973
2,6,31198
1,6,31578
1,5,32915
1,4,33270
1,3,33910
2,3,35196
3,3,35579
3,4,36824
4,4,37965
4,3,38879
5,3,40408
5,4,41550
5,5,41822
6,5,43558
6,6,44439
6,7,44769
7,7,45800
7,6,46806
7,5,47240
7,4,47506
7,3,47755
7,2,47972
6,2,50070
5,2,50481
6,2,52672
6,3,52922
6,4,53120
