x,y,t
0,0,0
1,0,13100
2,0,13331
3,0,13539
4,0,13725
4,1,14220
4,2,14659
3,2,15164
2,2,15468
2,3,16892
1,3,17227
0,3,17451
0,4,20052
0,5,20316
0,6,20524
0,7,20717
1,7,21181
2,7,21381
3,7,21580
3,6,21916
4,6,22189
3,6,22485
2,6,22756
1,6,23101
1,5,23373
1,4,23621
1,3,23917
2,3,24276
3,3,24957
3,4,27606
4,4,28821
5,4,29020
5,5,29661
6,5,30397
6,6,30845
6,7,31060
7,7,31292
7,6,31620
7,5,31820
7,4,32037
6,4,32405
6,3,33333
7,3,33640
7,2,34100
6,2,35190
6,1,35429
6,0,35661
5,0,35965
5,1,36396
5,2,36573
5,3,36756
4,3,37021
