x,y,t
0,0,0
1,0,1395
2,0,1603
3,0,1771
4,0,1946
5,0,2131
6,0,2340
6,1,3436
6,2,3834
7,2,4499
6,2,5700
5,2,6244
5,1,6867
4,1,7659
4,2,8827
3,2,9259
2,2,9635
2,3,11211
1,3,11643
0,3,12068
0,4,13108
0,5,13475
0,6,13835
0,7,14747
1,7,17468
2,7,17851
3,7,18307
3,6,19307
4,6,21155
3,6,21723
2,6,21971
1,6,22475
1,5,23226
1,4,23531
1,3,26403
2,3,26987
3,3,27291
4,3,27507
5,3,27723
6,3,27931
7,3,28139
7,4,28835
7,5,29051
7,6,29242
7,7,29451
6,7,30219
6,6,30586
6,5,30963
5,5,32091
5,4,32595
6,4,33228
5,4,34331
4,4,34571
3,4,34763
