x,y,t
0,0,0
1,0,5014
2,0,5270
3,0,5483
4,0,5729
5,0,11262
6,0,11524
6,1,12141
6,2,12396
7,2,12775
7,3,12994
7,4,13193
7,5,13374
7,6,13588
7,7,13815
6,7,14163
6,6,14631
6,5,14881
6,4,19528
6,3,19828
5,3,20130
5,2,20470
5,1,20804
4,1,21477
4,2,21954
4,3,22240
5,3,29179
5,4,29434
5,5,29920
5,4,30306
4,4,30599
3,4,30881
3,3,31199
3,2,31446
2,2,31683
2,3,31955
1,3,32234
0,3,32640
0,4,33808
1,4,34165
1,5,34706
0,5,35008
0,6,35265
0,7,36184
1,7,36620
2,7,36895
3,7,37172
3,6,38492
4,6,38768
3,6,39051
2,6,39241
1,6,39415
