x,y,t
0,0,0
1,0,935
2,0,2438
3,0,2589
4,0,2756
5,0,2908
6,0,3073
6,1,3304
5,1,3477
4,1,3713
4,2,4387
3,2,4493
2,2,4774
2,3,5535
1,3,5649
0,3,5870
0,4,6212
1,4,6360
1,5,6570
1,6,6797
0,6,7207
0,5,7491
0,6,7788
0,7,8011
1,7,10234
2,7,10433
3,7,10803
3,6,11051
4,6,11156
3,6,11403
2,6,11607
1,6,11798
1,5,11995
1,4,12159
1,3,12315
2,3,12590
3,3,12916
4,3,13120
5,3,13290
5,2,13540
6,2,13723
7,2,13913
7,3,14312
6,3,14529
6,4,14948
5,4,15117
4,4,15381
3,4,15551
4,4,15842
5,4,16023
5,5,16194
6,5,16328
6,6,16515
6,7,16742
7,7,16964
7,6,17198
7,5,17370
7,4,17526
