x,y,t
0,0,0
1,0,9878
2,0,11926
3,0,12658
4,0,13190
5,0,13541
6,0,15744
6,1,17927
5,1,19176
4,1,19603
4,2,22143
3,2,23627
2,2,24026
2,3,25060
1,3,25810
0,3,26208
0,4,28626
0,5,28973
0,6,29325
0,7,29770
1,7,30559
1,6,31293
1,5,31705
1,4,32171
1,5,35459
1,6,36142
1,7,37841
2,7,39040
3,7,39388
3,6,40609
4,6,42092
3,6,43775
2,6,44105
1,6,45042
1,5,45757
1,4,47143
1,3,48760
2,3,50606
3,3,51038
4,3,51840
4,2,53007
5,2,54922
6,2,55289
7,2,56567
7,3,57541
7,4,57870
7,5,58105
7,6,58287
7,7,58538
6,7,59608
6,6,61041
6,5,61434
6,4,61836
6,3,62236
5,3,63690
5,4,65152
5,5,66353
5,4,67440
4,4,68573
3,4,68901
