x,y,t
0,0,0
1,0,4600
2,0,4869
3,0,5103
4,0,5302
5,0,5521
6,0,5718
6,1,6438
5,1,6986
4,1,7299
4,2,7892
3,2,8365
2,2,8679
2,3,11424
3,3,11838
4,3,12103
5,3,12369
5,2,12845
6,2,13351
7,2,13646
7,3,14113
6,3,14917
6,4,15992
7,4,16348
7,5,16753
7,6,17059
7,7,17303
6,7,17735
6,6,18422
6,5,18774
5,5,19343
5,4,20381
4,4,20841
3,4,21203
3,3,22855
2,3,23304
1,3,24480
0,3,25138
0,4,25918
0,5,26210
0,6,26899
0,7,27791
1,7,28412
2,7,28695
3,7,28907
3,6,29349
4,6,29717
3,6,30080
2,6,30368
1,6,30695
1,5,31607
1,4,31844
