x,y,t
0,0,0
1,0,10998
2,0,11590
3,0,12597
4,0,13181
5,0,13839
6,0,14456
6,1,21793
6,2,26069
7,2,28512
7,3,29438
7,4,29604
7,5,29893
7,6,30588
7,7,31079
6,7,32531
6,6,34314
6,5,40800
6,4,41223
6,3,41656
5,3,42959
5,2,44034
5,1,44526
4,1,45802
4,2,47861
3,2,49704
2,2,50228
2,3,51204
1,3,52638
0,3,52854
1,3,65068
2,3,65250
3,3,65400
4,3,65551
5,3,65692
5,4,66993
5,5,68153
5,4,68953
4,4,69661
3,4,69836
3,3,70803
2,3,72387
1,3,72589
0,3,72746
0,4,74905
1,4,75353
1,5,77372
0,5,78448
0,6,80173
0,7,83967
1,7,87018
1,6,87432
2,6,88610
2,7,89377
3,7,90152
3,6,91652
4,6,92153
