x,y,t
0,0,0
1,0,5594
2,0,5910
3,0,6158
4,0,6399
5,0,6667
6,0,7117
6,1,9039
5,1,10025
4,1,10274
4,2,16217
4,3,16695
4,4,17005
3,4,18478
4,4,19735
5,4,20034
6,4,20360
7,4,20652
7,3,22195
7,2,22502
6,2,23819
5,2,24078
5,3,25549
6,3,26408
7,3,27922
7,4,29076
7,5,29396
7,6,29683
7,7,29972
6,7,34534
6,6,35542
6,5,35817
5,5,36914
5,4,39392
5,3,40251
4,3,41329
3,3,41524
2,3,41794
1,3,42022
0,3,42342
0,4,43516
0,5,43883
0,6,44243
0,7,44561
1,7,45778
2,7,48028
3,7,48337
3,6,50397
4,6,51852
3,6,53403
2,6,53664
1,6,54063
1,5,55067
1,4,55377
1,3,57287
2,3,59569
2,2,61171
3,2,62175
